run_id,inference_time,total_tracks,total_ghosts,overall_ghost_rate,event_avg_ghost_rate,max_slopes,max_tolerance,scatter
0,{'sec': 5.318634986877441},77958,77488,99.39711126504015,98.9788198690068,"(np.float64(0.22181447166974527), np.float64(9.163115910049386))","(np.float64(7.819167604861512), np.float64(7.981883821376))",2.2265406670309886
1,{'sec': 5.1761720180511475},73126,71273,97.46601755873424,95.73173439433494,"(np.float64(7.482800025239952), np.float64(5.695681417145642))","(np.float64(9.102351791477851), np.float64(1.8852184606305487))",1.135055690767626
2,{'sec': 6.339736223220825},59029,52017,88.1210930220739,82.59758240069542,"(np.float64(1.0236436321515878), np.float64(5.355201514897903))","(np.float64(3.2584789432540737), np.float64(1.6440130378553455))",2.888411195452403
3,{'sec': 4.958428144454956},77171,75989,98.46833655129518,97.4883940080022,"(np.float64(7.514384444462203), np.float64(4.995575371400259))","(np.float64(8.058478458127592), np.float64(3.080466834034148))",3.5964895473930754
4,{'sec': 5.125694990158081},82970,82307,99.20091599373268,98.6926909532488,"(np.float64(8.783836480319811), np.float64(3.8205837660950515))","(np.float64(7.359476202018449), np.float64(6.151806590090388))",0.7659210151800795
5,{'sec': 5.394108057022095},83813,83248,99.32588023337668,98.84753356467728,"(np.float64(8.194157482537104), np.float64(4.166128644478439))","(np.float64(6.830141671142176), np.float64(7.51645999188483))",6.066608992869941
6,{'sec': 8.952331781387329},38648,14373,37.189505278410266,31.775581592674538,"(np.float64(4.585964198409217), np.float64(4.432714702014471))","(np.float64(3.3542981258423192), np.float64(0.2327638233281798))",2.825427076672358
7,{'sec': 5.078546047210693},82558,81732,98.9994912667458,98.34845056786922,"(np.float64(1.435331923618055), np.float64(7.5375674018605245))","(np.float64(4.200691041544483), np.float64(9.390427765638067))",5.836143574109625
8,{'sec': 5.494035959243774},86216,85811,99.53024960564164,99.22894119423292,"(np.float64(1.859706725278881), np.float64(9.987811722540489))","(np.float64(8.354919876283008), np.float64(8.222375675947951))",3.819881231722588
9,{'sec': 4.982993841171265},81803,81013,99.03426524699583,98.37152559205413,"(np.float64(4.732969148081871), np.float64(2.75606459446813))","(np.float64(8.637232533618953), np.float64(4.3411625078514575))",5.539183143477715
10,{'sec': 5.231587171554565},85454,84919,99.37393217403515,98.97808376723584,"(np.float64(8.824341917675065), np.float64(4.420128999204089))","(np.float64(6.117563192971078), np.float64(9.646966393717143))",7.4781455609590575
11,{'sec': 8.793225049972534},40620,17826,43.88478581979321,37.29802741968922,"(np.float64(1.0705216105541169), np.float64(3.2002948354581826))","(np.float64(0.11141813755467184), np.float64(8.831779629548896))",7.515846650232103
12,{'sec': 5.333043098449707},71658,68988,96.27396801473667,93.8257361331504,"(np.float64(3.333662628250158), np.float64(4.5013201765299895))","(np.float64(2.232186748886653), np.float64(6.021973626618478))",2.766735482029842
13,{'sec': 5.504532098770142},77980,76481,98.07771223390613,96.85390395089782,"(np.float64(5.567170612849014), np.float64(9.534713372036357))","(np.float64(2.631739445753383), np.float64(8.734260686651764))",3.632021904860676
14,{'sec': 6.081518173217773},48042,45574,94.86282835851964,92.18549794995306,"(np.float64(1.6039988056542966), np.float64(0.04439271395249898))","(np.float64(9.48521922455152), np.float64(1.2424861291062586))",3.655235333525274
15,{'sec': 5.047026872634888},76288,74827,98.08488884228188,96.73440782209552,"(np.float64(1.396860054535741), np.float64(3.2117835516230975))","(np.float64(3.830007923235548), np.float64(5.496900663341328))",0.6956140608914381
16,{'sec': 5.479318857192993},71569,68994,96.4020735234529,94.01517582235316,"(np.float64(3.3742994126446257), np.float64(4.093172345825222))","(np.float64(2.435924232706556), np.float64(5.446885984554933))",7.0628044808462045
17,{'sec': 5.043790102005005},84168,83633,99.36436650508507,98.95306043113179,"(np.float64(3.3039216752747675), np.float64(1.0130788872070398))","(np.float64(9.144325424172768), np.float64(5.810875449013037))",5.804905893389232
18,{'sec': 6.853538274765015},53957,42170,78.15482699186389,71.26958859139177,"(np.float64(6.986453586328726), np.float64(7.447471454163917))","(np.float64(0.7477341577869011), np.float64(4.471115622586908))",4.435571935788069
19,{'sec': 5.192846059799194},70684,68465,96.86067568332295,94.7304300882243,"(np.float64(6.0607718403687025), np.float64(9.614373462625064))","(np.float64(4.743642974990016), np.float64(2.9515417202558347))",7.1698774508676575
20,{'sec': 5.166176080703735},80990,80407,99.28015804420299,98.78340868400535,"(np.float64(0.547341661001203), np.float64(1.3186784915373804))","(np.float64(6.13197521220596), np.float64(8.753550586098317))",4.85303225827053
21,{'sec': 5.186748743057251},76944,75610,98.26627157413184,97.01796388979723,"(np.float64(8.478326342669192), np.float64(5.68141978681873))","(np.float64(4.346562974203392), np.float64(5.1692836625283105))",4.130039885900797
22,{'sec': 8.300078630447388},45578,26476,58.08942911053578,50.49300994009879,"(np.float64(8.109873907389856), np.float64(9.874446079294799))","(np.float64(0.19160941766987225), np.float64(8.574829806076313))",3.5924231357220173
23,{'sec': 5.3459460735321045},74702,73264,98.0750180718053,96.80756376379786,"(np.float64(6.544859333544898), np.float64(8.789155208818283))","(np.float64(6.7526051695167775), np.float64(2.958032995823938))",2.8841833652645374
24,{'sec': 5.159173011779785},80610,79902,99.12169705991812,98.57521565990378,"(np.float64(0.6754782513994443), np.float64(1.0634540779853177))","(np.float64(5.058757955868817), np.float64(9.287402797366651))",3.5985956552964544
25,{'sec': 5.432807922363281},85807,85302,99.41146992669596,99.0062507993575,"(np.float64(8.633231413244681), np.float64(9.523874262170034))","(np.float64(6.306790617427716), np.float64(9.986719085888794))",1.9861371470872184
26,{'sec': 6.25839376449585},58007,49013,84.4949747444274,77.94484351647901,"(np.float64(4.686837249762028), np.float64(3.5784781588494776))","(np.float64(7.455774440194938), np.float64(0.5893144282600299))",1.395553687115565
27,{'sec': 4.793370008468628},83452,82782,99.19714326798639,98.68383788737667,"(np.float64(3.170623850390496), np.float64(5.333824497125119))","(np.float64(9.841538643560856), np.float64(4.382497200328454))",6.044419700596783
28,{'sec': 5.218403100967407},62498,60141,96.22867931773817,94.08247992129881,"(np.float64(0.15975404353272754), np.float64(6.879067040760085))","(np.float64(3.6056723823479304), np.float64(4.1174043229128445))",8.194410727236153
29,{'sec': 4.857918977737427},72881,71693,98.36994552764095,97.42131459930751,"(np.float64(0.7296397412672271), np.float64(0.4342558588286118))","(np.float64(5.179326191554203), np.float64(5.297298384697935))",3.8889080861644882
