label,n_reco,n_particles,recoeffT,avg_recoeff,n_clones,clone_percentage,purityT,avg_purity,avg_hiteff,hit_eff_percentage,run_id,max_slopes,max_tolerance,scatter
long_fromb>5GeV,2,343,0.5830903790087464,0.5830903790087464,0,0.0,75.0,0.0,0.0,27.27272727272727,0,"(np.float64(0.22181447166974527), np.float64(9.163115910049386))","(np.float64(7.819167604861512), np.float64(7.981883821376))",2.2265406670309886
long_strange,5,385,1.2987012987012987,1.2987012987012987,0,0.0,79.28571428571429,0.0,0.0,58.45238095238095,0,"(np.float64(0.22181447166974527), np.float64(9.163115910049386))","(np.float64(7.819167604861512), np.float64(7.981883821376))",2.2265406670309886
long>5GeV,58,5100,1.1372549019607843,1.1372549019607843,1,1.7241379310344827,76.8750458580967,0.0,0.0,37.762487042148045,0,"(np.float64(0.22181447166974527), np.float64(9.163115910049386))","(np.float64(7.819167604861512), np.float64(7.981883821376))",2.2265406670309886
long_fromb,2,444,0.45045045045045046,0.45045045045045046,0,0.0,75.0,0.0,0.0,27.27272727272727,0,"(np.float64(0.22181447166974527), np.float64(9.163115910049386))","(np.float64(7.819167604861512), np.float64(7.981883821376))",2.2265406670309886
long_strange>5GeV,2,174,1.1494252873563218,1.1494252873563218,0,0.0,75.0,0.0,0.0,29.464285714285715,0,"(np.float64(0.22181447166974527), np.float64(9.163115910049386))","(np.float64(7.819167604861512), np.float64(7.981883821376))",2.2265406670309886
velo,418,28026,1.4914722043816455,1.4914722043816455,14,3.349282296650718,81.07506112714448,80.0,73.33333333333334,62.76363710953171,0,"(np.float64(0.22181447166974527), np.float64(9.163115910049386))","(np.float64(7.819167604861512), np.float64(7.981883821376))",2.2265406670309886
long,80,8076,0.9905894006934126,0.9905894006934125,2,2.5,77.01501073452292,0.0,0.0,39.23671159861976,0,"(np.float64(0.22181447166974527), np.float64(9.163115910049386))","(np.float64(7.819167604861512), np.float64(7.981883821376))",2.2265406670309886
velo,1638,28026,5.844572896596018,5.844572896596018,49,2.9914529914529915,82.06533195545187,80.3565062388592,65.01294457176809,67.33965127994733,1,"(np.float64(7.482800025239952), np.float64(5.695681417145642))","(np.float64(9.102351791477851), np.float64(1.8852184606305487))",1.135055690767626
long_strange>5GeV,6,174,3.4482758620689653,3.4482758620689653,0,0.0,85.23809523809523,0.0,0.0,79.30555555555554,1,"(np.float64(7.482800025239952), np.float64(5.695681417145642))","(np.float64(9.102351791477851), np.float64(1.8852184606305487))",1.135055690767626
long_fromb,40,444,9.00900900900901,9.00900900900901,1,2.5,79.45276268447002,75.0,33.33333333333333,62.88441671511974,1,"(np.float64(7.482800025239952), np.float64(5.695681417145642))","(np.float64(9.102351791477851), np.float64(1.8852184606305487))",1.135055690767626
long_fromb>5GeV,31,343,9.037900874635568,9.037900874635568,1,3.225806451612903,79.71348963536465,75.0,33.33333333333333,61.28544964022904,1,"(np.float64(7.482800025239952), np.float64(5.695681417145642))","(np.float64(9.102351791477851), np.float64(1.8852184606305487))",1.135055690767626
long_strange,16,385,4.1558441558441555,4.1558441558441555,0,0.0,81.96428571428571,0.0,0.0,71.17254273504274,1,"(np.float64(7.482800025239952), np.float64(5.695681417145642))","(np.float64(9.102351791477851), np.float64(1.8852184606305487))",1.135055690767626
long,509,8076,6.302625061911837,6.302625061911837,15,2.9469548133595285,79.91654613721857,77.66666666666667,46.74242424242424,58.88266564610863,1,"(np.float64(7.482800025239952), np.float64(5.695681417145642))","(np.float64(9.102351791477851), np.float64(1.8852184606305487))",1.135055690767626
long>5GeV,301,5100,5.901960784313726,5.901960784313726,10,3.3222591362126246,80.27440289781883,76.25,42.8030303030303,57.051603063519124,1,"(np.float64(7.482800025239952), np.float64(5.695681417145642))","(np.float64(9.102351791477851), np.float64(1.8852184606305487))",1.135055690767626
