label,n_reco,n_particles,recoeffT,avg_recoeff,n_clones,clone_percentage,purityT,avg_purity,avg_hiteff,hit_eff_percentage,run_id,max_slopes,max_tolerance,scatter
long,7741,8076,95.85190688459633,95.85190688459633,287,3.7075313267019765,98.87061505485448,99.3693048206937,95.54854096520764,95.2820805354297,0,"(np.float64(0.22699394154815677), np.float64(0.22699394154815677))","(np.float64(0.24536055885984756), np.float64(0.24536055885984756))",0.10244960872384169
long_strange,368,385,95.58441558441558,95.58441558441558,6,1.6304347826086956,98.72748686251363,100.0,100.0,96.89456339857409,0,"(np.float64(0.22699394154815677), np.float64(0.22699394154815677))","(np.float64(0.24536055885984756), np.float64(0.24536055885984756))",0.10244960872384169
long_fromb,422,444,95.04504504504504,95.04504504504504,14,3.3175355450236967,98.01946301659603,100.0,100.0,94.54391926907142,0,"(np.float64(0.22699394154815677), np.float64(0.22699394154815677))","(np.float64(0.24536055885984756), np.float64(0.24536055885984756))",0.10244960872384169
long>5GeV,5029,5100,98.6078431372549,98.6078431372549,178,3.539471067806721,98.80717080818187,99.22513227513228,93.93333333333331,95.54335194377823,0,"(np.float64(0.22699394154815677), np.float64(0.22699394154815677))","(np.float64(0.24536055885984756), np.float64(0.24536055885984756))",0.10244960872384169
long_strange>5GeV,170,174,97.70114942528735,97.70114942528735,2,1.1764705882352942,98.62170290949364,100.0,100.0,97.28589240217146,0,"(np.float64(0.22699394154815677), np.float64(0.22699394154815677))","(np.float64(0.24536055885984756), np.float64(0.24536055885984756))",0.10244960872384169
velo,22390,28026,79.8901020480982,79.8901020480982,602,2.6887003126395714,98.80003166502568,98.92944165970484,95.37321839953417,95.36824249314724,0,"(np.float64(0.22699394154815677), np.float64(0.22699394154815677))","(np.float64(0.24536055885984756), np.float64(0.24536055885984756))",0.10244960872384169
long_fromb>5GeV,331,343,96.50145772594752,96.50145772594753,11,3.323262839879154,97.85035911132401,100.0,100.0,94.30266702993976,0,"(np.float64(0.22699394154815677), np.float64(0.22699394154815677))","(np.float64(0.24536055885984756), np.float64(0.24536055885984756))",0.10244960872384169
long_fromb,401,444,90.31531531531532,90.31531531531532,34,8.478802992518704,92.14767487789798,100.0,100.0,86.26862484598323,1,"(np.float64(0.39667879171208126), np.float64(0.39667879171208126))","(np.float64(0.7695388717749375), np.float64(0.7695388717749375))",0.22031167935777626
long_strange>5GeV,153,174,87.93103448275862,87.93103448275862,10,6.5359477124183005,94.2517349725939,95.83333333333334,100.0,90.9024913396079,1,"(np.float64(0.39667879171208126), np.float64(0.39667879171208126))","(np.float64(0.7695388717749375), np.float64(0.7695388717749375))",0.22031167935777626
long>5GeV,4619,5100,90.56862745098039,90.56862745098039,331,7.166053258281013,94.53737503223617,95.3981435231435,93.88922709235207,88.5836688658114,1,"(np.float64(0.39667879171208126), np.float64(0.39667879171208126))","(np.float64(0.7695388717749375), np.float64(0.7695388717749375))",0.22031167935777626
long,7369,8076,91.24566617137197,91.24566617137197,493,6.690188628036369,94.67812909617177,96.14108963598757,94.98354536619837,89.03324411842081,1,"(np.float64(0.39667879171208126), np.float64(0.39667879171208126))","(np.float64(0.7695388717749375), np.float64(0.7695388717749375))",0.22031167935777626
velo,21828,28026,77.8848212374224,77.8848212374224,881,4.036100421477002,94.74532355078705,94.9981414784047,91.65384140713094,90.18592673555969,1,"(np.float64(0.39667879171208126), np.float64(0.39667879171208126))","(np.float64(0.7695388717749375), np.float64(0.7695388717749375))",0.22031167935777626
long_fromb>5GeV,309,343,90.08746355685132,90.0874635568513,28,9.06148867313916,91.71617544806581,100.0,100.0,84.9418745985185,1,"(np.float64(0.39667879171208126), np.float64(0.39667879171208126))","(np.float64(0.7695388717749375), np.float64(0.7695388717749375))",0.22031167935777626
long_strange,340,385,88.31168831168831,88.31168831168831,13,3.823529411764706,94.20057869420472,95.83333333333334,97.61904761904762,91.63165446451568,1,"(np.float64(0.39667879171208126), np.float64(0.39667879171208126))","(np.float64(0.7695388717749375), np.float64(0.7695388717749375))",0.22031167935777626
long>5GeV,5078,5100,99.56862745098039,99.5686274509804,208,4.096100827097282,99.4258109255271,99.42434210526315,93.04824561403508,95.26284686450003,2,"(np.float64(0.5066205588694156), np.float64(0.5066205588694156))","(np.float64(0.1401610724097663), np.float64(0.1401610724097663))",0.287297764075737
