run_id,total_tracks,total_ghosts,overall_ghost_rate,event_avg_ghost_rate,max_slopes,max_tolerance,scatter
0,26720,870,3.2559880239520957,2.917174857199165,"(np.float64(0.22699394154815677), np.float64(0.22699394154815677))","(np.float64(0.24536055885984756), np.float64(0.24536055885984756))",0.10244960872384169
1,34786,9410,27.05111251652964,23.408076562588924,"(np.float64(0.39667879171208126), np.float64(0.39667879171208126))","(np.float64(0.7695388717749375), np.float64(0.7695388717749375))",0.22031167935777626
2,30301,455,1.5016006072406851,1.3603267136136457,"(np.float64(0.5066205588694156), np.float64(0.5066205588694156))","(np.float64(0.1401610724097663), np.float64(0.1401610724097663))",0.287297764075737
3,35011,11563,33.02676301733741,28.60506013169736,"(np.float64(0.3147699434662936), np.float64(0.3147699434662936))","(np.float64(0.8708190487986299), np.float64(0.8708190487986299))",0.6112518008729086
4,31549,1402,4.443880947098164,4.004545075068387,"(np.float64(0.9308564391968801), np.float64(0.9308564391968801))","(np.float64(0.2678486696369663), np.float64(0.2678486696369663))",0.459454133756018
5,37529,12708,33.86181353086946,29.24555663287996,"(np.float64(0.7727106777921489), np.float64(0.7727106777921489))","(np.float64(0.8456049057394381), np.float64(0.8456049057394381))",0.2704196363961817
6,30807,10642,34.54409712078424,30.227831323790237,"(np.float64(0.1752357363205407), np.float64(0.1752357363205407))","(np.float64(0.8811011201701355), np.float64(0.8811011201701355))",0.3971984117560873
7,32511,3069,9.439881886130848,8.333894394551237,"(np.float64(0.8579934118364945), np.float64(0.8579934118364945))","(np.float64(0.4077066342343683), np.float64(0.4077066342343683))",0.9890329030528664
8,24760,530,2.1405492730210014,1.9666675202199682,"(np.float64(0.18679759499133428), np.float64(0.18679759499133428))","(np.float64(0.18857339500515322), np.float64(0.18857339500515322))",0.5473697305824241
9,28617,4571,15.973023028269909,13.892555240155755,"(np.float64(0.2110039772586271), np.float64(0.2110039772586271))","(np.float64(0.5704115651731182), np.float64(0.5704115651731182))",0.7716027508105138
10,33260,4427,13.31028262176789,11.609776827110121,"(np.float64(0.8050223010458504), np.float64(0.8050223010458504))","(np.float64(0.4981848822369699), np.float64(0.4981848822369699))",0.13869743838483106
11,32623,8787,26.934984520123837,23.38029991153989,"(np.float64(0.26993021601921957), np.float64(0.26993021601921957))","(np.float64(0.7717551578367614), np.float64(0.7717551578367614))",0.1783534896348319
12,31309,1124,3.590022038391517,3.260458139634039,"(np.float64(0.7190400385407492), np.float64(0.7190400385407492))","(np.float64(0.23545255864641532), np.float64(0.23545255864641532))",0.8797759573997466
13,33531,4904,14.625272136232143,12.719337780154914,"(np.float64(0.9900587577369795), np.float64(0.9900587577369795))","(np.float64(0.5138966907501572), np.float64(0.5138966907501572))",0.6589827564668582
14,30419,2368,7.784608304020513,6.86304079475133,"(np.float64(0.34718199421891804), np.float64(0.34718199421891804))","(np.float64(0.3989792368240732), np.float64(0.3989792368240732))",0.9370967074971975
15,35571,9021,25.360546512608586,21.85868803276335,"(np.float64(0.7450643895196719), np.float64(0.7450643895196719))","(np.float64(0.7101579124183188), np.float64(0.7101579124183188))",0.26939304836032046
16,27427,357,1.3016370729573048,1.1658587414703,"(np.float64(0.26717311737967064), np.float64(0.26717311737967064))","(np.float64(0.14592542286932136), np.float64(0.14592542286932136))",0.21907931995007238
17,31679,2106,6.647937119227248,5.973218166515322,"(np.float64(0.5243144848181689), np.float64(0.5243144848181689))","(np.float64(0.3526645139280519), np.float64(0.3526645139280519))",0.8315365358507191
18,33726,5386,15.969874873984462,13.859906038743825,"(np.float64(0.676438236493043), np.float64(0.676438236493043))","(np.float64(0.5560308497187496), np.float64(0.5560308497187496))",0.33026804446835045
19,33189,4326,13.034439121395643,11.378301039026617,"(np.float64(0.9009346158159389), np.float64(0.9009346158159389))","(np.float64(0.4858439675051033), np.float64(0.4858439675051033))",0.279433679758801
20,31748,4267,13.440216706564193,11.712185309413567,"(np.float64(0.35980650537355363), np.float64(0.35980650537355363))","(np.float64(0.5269205885255535), np.float64(0.5269205885255535))",0.5273600819955677
21,31021,1771,5.709035814448277,5.131493345295807,"(np.float64(0.4333497079274092), np.float64(0.4333497079274092))","(np.float64(0.33449450790334434), np.float64(0.33449450790334434))",0.36942971665454244
22,30322,435,1.4346019391860696,1.3067454338501507,"(np.float64(0.5162309093972312), np.float64(0.5162309093972312))","(np.float64(0.13381314450175527), np.float64(0.13381314450175527))",0.31560007080049357
23,25761,1450,5.628663483560421,5.015459924298584,"(np.float64(0.19330889658582057), np.float64(0.19330889658582057))","(np.float64(0.3237803678168381), np.float64(0.3237803678168381))",0.20099000460483604
24,31178,978,3.136827249983963,2.866763999955513,"(np.float64(0.8731624770003834), np.float64(0.8731624770003834))","(np.float64(0.2133755238552904), np.float64(0.2133755238552904))",0.9564889856606937
25,31465,1855,5.89543937708565,5.289154787426458,"(np.float64(0.5079478739421808), np.float64(0.5079478739421808))","(np.float64(0.33224963133850133), np.float64(0.33224963133850133))",0.18058603340144957
26,38661,14813,38.31509790227878,33.19111833256459,"(np.float64(0.9821795474467676), np.float64(0.9821795474467676))","(np.float64(0.9031976083764762), np.float64(0.9031976083764762))",0.11353168096457444
27,33080,5947,17.977629987908102,15.60847605359556,"(np.float64(0.3992361345154421), np.float64(0.3992361345154421))","(np.float64(0.6165611703722199), np.float64(0.6165611703722199))",0.7368897599471737
28,34599,6927,20.020809849995665,17.32693174492068,"(np.float64(0.8973090889464944), np.float64(0.8973090889464944))","(np.float64(0.6144122809673828), np.float64(0.6144122809673828))",0.7071906888923546
29,31147,1165,3.740328121488426,3.3995754398535274,"(np.float64(0.5403342255072107), np.float64(0.5403342255072107))","(np.float64(0.255397407357861), np.float64(0.255397407357861))",0.7975475895143167
30,28813,10688,37.09436712595009,32.52004307793357,"(np.float64(0.14012345131190762), np.float64(0.14012345131190762))","(np.float64(0.8966810806190023), np.float64(0.8966810806190023))",0.6814238577811452
31,33678,9086,26.979036759902606,23.407785304346866,"(np.float64(0.31849342932529656), np.float64(0.31849342932529656))","(np.float64(0.7749307136112366), np.float64(0.7749307136112366))",0.7114902488792454
32,23795,884,3.7150661903761293,3.290723205946316,"(np.float64(0.1632890575893998), np.float64(0.1632890575893998))","(np.float64(0.24731335287981174), np.float64(0.24731335287981174))",0.6697583650186552
33,32680,3621,11.080171358629132,9.691958662521621,"(np.float64(0.584283576220069), np.float64(0.584283576220069))","(np.float64(0.4647935820340815), np.float64(0.4647935820340815))",0.8732414845112594
34,30742,623,2.0265434909895257,1.8695501413413032,"(np.float64(0.5952996242040319), np.float64(0.5952996242040319))","(np.float64(0.16837734015891706), np.float64(0.16837734015891706))",0.23606497922751968
35,31088,4705,15.134457025218733,13.156303928606269,"(np.float64(0.3047213206822823), np.float64(0.3047213206822823))","(np.float64(0.5638173699463841), np.float64(0.5638173699463841))",0.38124272353453587
36,32871,3734,11.359557056371878,9.934610974656378,"(np.float64(0.734680099638414), np.float64(0.734680099638414))","(np.float64(0.4583524070013307), np.float64(0.4583524070013307))",0.5410722455758501
37,28639,7175,25.053249065959008,21.82712050344835,"(np.float64(0.1744986907364296), np.float64(0.1744986907364296))","(np.float64(0.7185286217447366), np.float64(0.7185286217447366))",0.274772519543026
38,37671,12892,34.22261155796236,29.55954591160127,"(np.float64(0.8839882817882198), np.float64(0.8839882817882198))","(np.float64(0.8437422173495276), np.float64(0.8437422173495276))",0.26129010029656285
39,36005,10846,30.12359394528538,26.03246332525519,"(np.float64(0.4778789335525254), np.float64(0.4778789335525254))","(np.float64(0.8119808897755083), np.float64(0.8119808897755083))",0.30117549786107767
40,38673,14996,38.77640731259535,33.5813405787907,"(np.float64(0.7881423186428641), np.float64(0.7881423186428641))","(np.float64(0.9187783976007009), np.float64(0.9187783976007009))",0.9588528392041467
41,31880,3039,9.532622333751569,8.384690895600835,"(np.float64(0.45284889902301645), np.float64(0.45284889902301645))","(np.float64(0.4385501933104565), np.float64(0.4385501933104565))",0.19336626269666668
42,37246,12354,33.168662406701394,28.699144309071688,"(np.float64(0.6068471945699935), np.float64(0.6068471945699935))","(np.float64(0.8474717294721344), np.float64(0.8474717294721344))",0.38393932278574
43,39550,16572,41.90139064475348,36.43552971046502,"(np.float64(0.9218177335564961), np.float64(0.9218177335564961))","(np.float64(0.9618487729965371), np.float64(0.9618487729965371))",0.14070555478414612
44,31698,1676,5.287399835951795,4.703887170190234,"(np.float64(0.7951084309633465), np.float64(0.7951084309633465))","(np.float64(0.2929979099449113), np.float64(0.2929979099449113))",0.8832095691314829
45,22242,2294,10.313820699577375,9.010225658743403,"(np.float64(0.1255068734489763), np.float64(0.1255068734489763))","(np.float64(0.4012373624779364), np.float64(0.4012373624779364))",0.5576158698085673
46,27893,1122,4.022514609400208,3.5798818420582177,"(np.float64(0.2602054228798949), np.float64(0.2602054228798949))","(np.float64(0.27994651593876085), np.float64(0.27994651593876085))",0.9571275001459096
47,38308,15171,39.602693954265426,34.47231787199999,"(np.float64(0.4884069833945062), np.float64(0.4884069833945062))","(np.float64(0.9578682385324567), np.float64(0.9578682385324567))",0.35323124627868135
48,32594,3284,10.07547401362214,8.85554255376028,"(np.float64(0.6723921159014651), np.float64(0.6723921159014651))","(np.float64(0.43213092698124556), np.float64(0.43213092698124556))",0.3514392336717915
49,30423,706,2.3206126943430956,2.1486327511822054,"(np.float64(0.46427835885781016), np.float64(0.46427835885781016))","(np.float64(0.19520803290039784), np.float64(0.19520803290039784))",0.2936019471060454
50,31465,1316,4.182424916573971,3.7758869758925564,"(np.float64(0.8748122610480908), np.float64(0.8748122610480908))","(np.float64(0.2544699657186894), np.float64(0.2544699657186894))",0.566942754162523
51,33497,5016,14.97447532614861,13.01556921549254,"(np.float64(0.6623910414631612), np.float64(0.6623910414631612))","(np.float64(0.5382336219047331), np.float64(0.5382336219047331))",0.1089185548965331
