label,n_reco,n_particles,recoeffT,avg_recoeff,n_clones,clone_percentage,purityT,avg_purity,avg_hiteff,hit_eff_percentage,run_id,max_slopes,max_tolerance,scatter
long_strange>5GeV,83,174,47.701149425287355,47.701149425287355,2,2.4096385542168677,88.33006862418625,0.0,0.0,85.4981913511325,0,"(np.float64(1.5242882210645525), np.float64(1.5242882210645525))","(np.float64(1.5370050166041933), np.float64(1.5370050166041933))",1.0133783343272444
long_fromb>5GeV,195,343,56.85131195335277,56.85131195335277,14,7.17948717948718,84.76685727881897,0.0,0.0,74.57434953652428,0,"(np.float64(1.5242882210645525), np.float64(1.5242882210645525))","(np.float64(1.5370050166041933), np.float64(1.5370050166041933))",1.0133783343272444
long>5GeV,2775,5100,54.411764705882355,54.41176470588235,220,7.927927927927928,87.91635455820607,85.78051578051577,81.02176262890549,79.27607080012896,0,"(np.float64(1.5242882210645525), np.float64(1.5242882210645525))","(np.float64(1.5370050166041933), np.float64(1.5370050166041933))",1.0133783343272444
long,4681,8076,57.9618623080733,57.96186230807331,340,7.263405255287331,88.23239832578395,86.58464185387261,84.28642297873067,80.30822332985197,0,"(np.float64(1.5242882210645525), np.float64(1.5242882210645525))","(np.float64(1.5370050166041933), np.float64(1.5370050166041933))",1.0133783343272444
long_strange,207,385,53.76623376623377,53.76623376623376,9,4.3478260869565215,88.13752862363972,73.21428571428572,85.71428571428572,84.83997997886888,0,"(np.float64(1.5242882210645525), np.float64(1.5242882210645525))","(np.float64(1.5370050166041933), np.float64(1.5370050166041933))",1.0133783343272444
long_fromb,264,444,59.45945945945946,59.45945945945946,18,6.818181818181818,86.0130487125168,87.5,91.66666666666666,77.32676416342944,0,"(np.float64(1.5242882210645525), np.float64(1.5242882210645525))","(np.float64(1.5370050166041933), np.float64(1.5370050166041933))",1.0133783343272444
velo,12871,28026,45.92521230286163,45.92521230286163,597,4.63833423976381,89.37645713975327,88.12454128534384,82.05721687765883,82.52780416279447,0,"(np.float64(1.5242882210645525), np.float64(1.5242882210645525))","(np.float64(1.5370050166041933), np.float64(1.5370050166041933))",1.0133783343272444
long_strange>5GeV,111,174,63.793103448275865,63.793103448275865,5,4.504504504504505,91.15000181810525,87.5,100.0,86.2657852205266,1,"(np.float64(1.8406038318950024), np.float64(1.8406038318950024))","(np.float64(1.320903899347157), np.float64(1.320903899347157))",1.7522587142148636
long_fromb>5GeV,222,343,64.72303206997084,64.72303206997084,29,13.063063063063064,86.51012656197797,88.88888888888889,88.88888888888889,76.57679107731835,1,"(np.float64(1.8406038318950024), np.float64(1.8406038318950024))","(np.float64(1.320903899347157), np.float64(1.320903899347157))",1.7522587142148636
long,5605,8076,69.40316988608222,69.40316988608221,427,7.618198037466548,89.97263905647074,90.13445955753645,87.99657607349914,82.53030398761356,1,"(np.float64(1.8406038318950024), np.float64(1.8406038318950024))","(np.float64(1.320903899347157), np.float64(1.320903899347157))",1.7522587142148636
long_strange,250,385,64.93506493506493,64.93506493506493,13,5.2,90.28893529368817,82.63888888888889,100.0,86.67775559885825,1,"(np.float64(1.8406038318950024), np.float64(1.8406038318950024))","(np.float64(1.320903899347157), np.float64(1.320903899347157))",1.7522587142148636
velo,15388,28026,54.90615856704488,54.90615856704488,733,4.763452040551079,90.88828416018684,89.49181313622904,84.58945119920726,84.37577436869319,1,"(np.float64(1.8406038318950024), np.float64(1.8406038318950024))","(np.float64(1.320903899347157), np.float64(1.320903899347157))",1.7522587142148636
long_fromb,293,444,65.990990990991,65.990990990991,32,10.921501706484642,87.54952134341275,88.54166666666666,94.09722222222221,78.99118109140733,1,"(np.float64(1.8406038318950024), np.float64(1.8406038318950024))","(np.float64(1.320903899347157), np.float64(1.320903899347157))",1.7522587142148636
long>5GeV,3389,5100,66.45098039215686,66.45098039215686,272,8.02596636175863,89.73351839360531,89.078536767216,85.80833736494114,81.5652561591166,1,"(np.float64(1.8406038318950024), np.float64(1.8406038318950024))","(np.float64(1.320903899347157), np.float64(1.320903899347157))",1.7522587142148636
long_fromb>5GeV,235,343,68.5131195335277,68.5131195335277,25,10.638297872340425,87.68548696150509,88.19444444444444,83.33333333333333,79.46511682856219,2,"(np.float64(1.1289846637811933), np.float64(1.1289846637811933))","(np.float64(1.1876405594794612), np.float64(1.1876405594794612))",1.8028745976760208
long_strange>5GeV,119,174,68.39080459770115,68.39080459770115,7,5.882352941176471,91.76710635043968,87.5,100.0,87.35138208352494,2,"(np.float64(1.1289846637811933), np.float64(1.1289846637811933))","(np.float64(1.1876405594794612), np.float64(1.1876405594794612))",1.8028745976760208
long_fromb,310,444,69.81981981981981,69.81981981981981,30,9.67741935483871,88.62364741482844,92.77777777777779,93.33333333333333,81.26338800401786,2,"(np.float64(1.1289846637811933), np.float64(1.1289846637811933))","(np.float64(1.1876405594794612), np.float64(1.1876405594794612))",1.8028745976760208
long,6092,8076,75.43338286280337,75.43338286280337,463,7.600131319763625,90.90584281721294,90.96699386472108,88.14998133179948,84.13212852782875,2,"(np.float64(1.1289846637811933), np.float64(1.1289846637811933))","(np.float64(1.1876405594794612), np.float64(1.1876405594794612))",1.8028745976760208
long_strange,274,385,71.16883116883118,71.16883116883118,15,5.474452554744525,90.60399039637797,81.31944444444444,91.66666666666666,87.27784998546244,2,"(np.float64(1.1289846637811933), np.float64(1.1289846637811933))","(np.float64(1.1876405594794612), np.float64(1.1876405594794612))",1.8028745976760208
long>5GeV,3692,5100,72.3921568627451,72.3921568627451,293,7.936078006500542,90.72740840522597,89.9710442813891,85.68476542614474,83.35790482863875,2,"(np.float64(1.1289846637811933), np.float64(1.1289846637811933))","(np.float64(1.1876405594794612), np.float64(1.1876405594794612))",1.8028745976760208
velo,16993,28026,60.632983658031826,60.632983658031826,821,4.831401165185665,91.63332101795504,90.78004251495635,85.73967459743321,85.65970326641194,2,"(np.float64(1.1289846637811933), np.float64(1.1289846637811933))","(np.float64(1.1876405594794612), np.float64(1.1876405594794612))",1.8028745976760208
long>5GeV,2021,5100,39.627450980392155,39.62745098039216,141,6.976744186046512,85.90446892024342,85.12496392496394,78.85970695970694,76.62078557601029,3,"(np.float64(1.6863027380117064), np.float64(1.6863027380117064))","(np.float64(1.8591534459095915), np.float64(1.8591534459095915))",1.697141672941024
long_strange,158,385,41.03896103896104,41.03896103896104,5,3.1645569620253164,86.38111557635197,78.57142857142857,85.71428571428572,82.3490577248246,3,"(np.float64(1.6863027380117064), np.float64(1.6863027380117064))","(np.float64(1.8591534459095915), np.float64(1.8591534459095915))",1.697141672941024
